country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Cost of Living Value,Cost of Living Category,Pollution Value,Pollution Category
United Arab Emirates,132.31,Very High,84.43,Very High,70.63,High,53.8,Low,47.98,Moderate
United Kingdom,125.05,Very High,51.88,Moderate,72.92,High,59.67,Low,40.47,Moderate
United States,153.02,Very High,50.74,Moderate,67.86,High,65.69,Moderate,36.61,Low
Uruguay,57.92,Low,48.2,Moderate,68.57,High,47.39,Low,43.49,Moderate
Us Virgin Islands,74.23,Moderate,40.06,Moderate,45.37,Moderate,99.27,Very High,15.27,Very Low
Uzbekistan,44.66,Low,71.97,High,61.82,High,24.4,Very Low,53.07,Moderate
Vanuatu,0,Very Low,58.35,Moderate,40.51,Moderate,0,Very Low,40.14,Moderate
Vatican City,0,Very Low,46.18,Moderate,100,Very High,0,Very Low,46.32,Moderate
Venezuela,15.11,Very Low,19.26,Very Low,38.69,Low,35.85,Very Low,75.3,High
Vietnam,44.49,Low,59,Moderate,61.32,High,26.85,Very Low,84.19,Very High
Wallis And Futuna,0,Very Low,0,Very Low,0,Very Low,0,Very Low,0,Very Low
Western Sahara,0,Very Low,62.87,High,0,Very Low,0,Very Low,0,Very Low
Yemen,20.74,Very Low,34.07,Low,25.31,Low,48.66,Low,83.17,Very High
Zambia,22.32,Very Low,54.39,Moderate,54.44,Moderate,36.74,Very Low,80.9,Very High
Zimbabwe,28.76,Very Low,39.31,Low,44.8,Moderate,35.36,Very Low,78.53,High
